picture_id,mid_year,cluster_id,cluster_rank
11472,1906,73,3
11472,1906,9,4
11473,1899,38,1
11473,1899,16,2
11473,1899,57,3
11473,1899,21,4
11471,1907,28,1
11471,1907,109,2
11471,1907,46,3
11471,1907,60,4
320774,1820,3,1
320774,1820,99,2
320774,1820,79,3
320774,1820,71,4
11479,1838,27,1
11479,1838,23,2
11479,1838,16,3
11479,1838,60,4
335255,1845,26,1
335255,1845,27,2
335255,1845,13,3
335255,1845,98,4
15996,1870,107,1
15996,1870,55,2
15996,1870,45,3
15996,1870,77,4
102511,1877,23,1
102511,1877,60,2
102511,1877,37,3
102511,1877,0,4
102510,1857,4,1
102510,1857,70,2
102510,1857,27,3
102510,1857,74,4
102513,1854,90,1
102513,1854,85,2
102513,1854,53,3
102513,1854,5,4
102514,1855,4,1
102514,1855,28,2
102514,1855,70,3
102514,1855,32,4
15991,1870,90,1
15991,1870,52,2
15991,1870,65,3
15991,1870,84,4
9546,1874,77,1
9546,1874,55,2
9546,1874,10,3
9546,1874,60,4
9540,1884,12,1
9540,1884,19,2
9540,1884,63,3
9540,1884,39,4
2006894589,1796,47,1
2006894589,1796,101,2
2006894589,1796,61,3
2006894589,1796,2,4
15993,1890,12,1
15993,1890,108,2
15993,1890,103,3
15993,1890,26,4
302174,1859,92,1
302174,1859,11,2
302174,1859,75,3
302174,1859,97,4
21360,1905,19,1
21360,1905,8,2
21360,1905,3,3
21360,1905,71,4
29257,1906,5,1
29257,1906,61,2
29257,1906,43,3
29257,1906,1,4
335485,1845,85,1
335485,1845,26,2
335485,1845,39,3
335485,1845,93,4
335484,1845,39,1
335484,1845,26,2
335484,1845,105,3
335484,1845,60,4
23032,1790,26,1
23032,1790,73,2
23032,1790,90,3
23032,1790,36,4
102488,1825,15,1
102488,1825,72,2
102488,1825,26,3
102488,1825,2,4
23693,1847,90,1
23693,1847,84,2
23693,1847,8,3
23693,1847,73,4
23692,1847,26,1
23692,1847,2,2
23692,1847,50,3
23692,1847,51,4
23691,1844,26,1
23691,1844,34,2
23691,1844,58,3
23691,1844,74,4
23690,1844,50,1
23690,1844,13,2
23690,1844,70,3
23690,1844,10,4
23697,1836,85,1
23697,1836,14,2
23697,1836,15,3
23697,1836,5,4
23696,1836,85,1
23696,1836,2,2
23696,1836,5,3
23696,1836,96,4
23695,1836,15,1
23695,1836,2,2
23695,1836,32,3
23695,1836,5,4
23694,1836,85,1
23694,1836,73,2
23694,1836,15,3
23694,1836,2,4
23699,1863,55,1
23699,1863,107,2
23699,1863,51,3
23699,1863,77,4
23698,1836,15,1
23698,1836,26,2
23698,1836,2,3
23698,1836,52,4
308397,1843,28,1
308397,1843,4,2
308397,1843,45,3
308397,1843,94,4
